,Date,interest,year,month
0,2004-01,100,2004,1
1,2004-02,96,2004,2
2,2004-03,84,2004,3
3,2004-04,77,2004,4
4,2004-05,69,2004,5
5,2004-06,57,2004,6
6,2004-07,53,2004,7
7,2004-08,62,2004,8
8,2004-09,86,2004,9
9,2004-10,86,2004,10
10,2004-11,84,2004,11
11,2004-12,74,2004,12
12,2005-01,89,2005,1
13,2005-02,85,2005,2
14,2005-03,78,2005,3
15,2005-04,74,2005,4
16,2005-05,65,2005,5
17,2005-06,54,2005,6
18,2005-07,50,2005,7
19,2005-08,60,2005,8
20,2005-09,77,2005,9
21,2005-10,75,2005,10
22,2005-11,74,2005,11
23,2005-12,62,2005,12
24,2006-01,80,2006,1
25,2006-02,75,2006,2
26,2006-03,71,2006,3
27,2006-04,65,2006,4
28,2006-05,60,2006,5
29,2006-06,47,2006,6
30,2006-07,44,2006,7
31,2006-08,55,2006,8
32,2006-09,72,2006,9
33,2006-10,70,2006,10
34,2006-11,65,2006,11
35,2006-12,57,2006,12
36,2007-01,72,2007,1
37,2007-02,68,2007,2
38,2007-03,66,2007,3
39,2007-04,64,2007,4
40,2007-05,54,2007,5
41,2007-06,44,2007,6
42,2007-07,42,2007,7
43,2007-08,49,2007,8
44,2007-09,65,2007,9
45,2007-10,65,2007,10
46,2007-11,63,2007,11
47,2007-12,53,2007,12
48,2008-01,66,2008,1
49,2008-02,62,2008,2
50,2008-03,58,2008,3
51,2008-04,60,2008,4
52,2008-05,50,2008,5
53,2008-06,42,2008,6
54,2008-07,38,2008,7
55,2008-08,45,2008,8
56,2008-09,62,2008,9
57,2008-10,59,2008,10
58,2008-11,57,2008,11
59,2008-12,51,2008,12
60,2009-01,62,2009,1
61,2009-02,59,2009,2
62,2009-03,59,2009,3
63,2009-04,55,2009,4
64,2009-05,50,2009,5
65,2009-06,41,2009,6
66,2009-07,38,2009,7
67,2009-08,44,2009,8
68,2009-09,58,2009,9
69,2009-10,57,2009,10
70,2009-11,55,2009,11
71,2009-12,48,2009,12
72,2010-01,60,2010,1
73,2010-02,56,2010,2
74,2010-03,56,2010,3
75,2010-04,52,2010,4
76,2010-05,47,2010,5
77,2010-06,38,2010,6
78,2010-07,34,2010,7
79,2010-08,39,2010,8
80,2010-09,51,2010,9
81,2010-10,48,2010,10
82,2010-11,47,2010,11
83,2010-12,40,2010,12
84,2011-01,55,2011,1
85,2011-02,54,2011,2
86,2011-03,52,2011,3
87,2011-04,50,2011,4
88,2011-05,46,2011,5
89,2011-06,38,2011,6
90,2011-07,33,2011,7
91,2011-08,42,2011,8
92,2011-09,55,2011,9
93,2011-10,51,2011,10
94,2011-11,50,2011,11
95,2011-12,42,2011,12
96,2012-01,52,2012,1
97,2012-02,51,2012,2
98,2012-03,48,2012,3
99,2012-04,48,2012,4
100,2012-05,44,2012,5
101,2012-06,35,2012,6
102,2012-07,32,2012,7
103,2012-08,42,2012,8
104,2012-09,53,2012,9
105,2012-10,48,2012,10
106,2012-11,45,2012,11
107,2012-12,38,2012,12
108,2013-01,49,2013,1
109,2013-02,48,2013,2
110,2013-03,47,2013,3
111,2013-04,47,2013,4
112,2013-05,44,2013,5
113,2013-06,34,2013,6
114,2013-07,31,2013,7
115,2013-08,40,2013,8
116,2013-09,52,2013,9
117,2013-10,51,2013,10
118,2013-11,47,2013,11
119,2013-12,41,2013,12
120,2014-01,50,2014,1
121,2014-02,50,2014,2
122,2014-03,49,2014,3
123,2014-04,47,2014,4
124,2014-05,46,2014,5
125,2014-06,35,2014,6
126,2014-07,33,2014,7
127,2014-08,42,2014,8
128,2014-09,55,2014,9
129,2014-10,50,2014,10
130,2014-11,47,2014,11
131,2014-12,43,2014,12
132,2015-01,51,2015,1
133,2015-02,48,2015,2
134,2015-03,48,2015,3
135,2015-04,48,2015,4
136,2015-05,46,2015,5
137,2015-06,35,2015,6
138,2015-07,31,2015,7
139,2015-08,43,2015,8
140,2015-09,57,2015,9
141,2015-10,52,2015,10
142,2015-11,48,2015,11
143,2015-12,42,2015,12
144,2016-01,49,2016,1
145,2016-02,48,2016,2
146,2016-03,45,2016,3
147,2016-04,46,2016,4
148,2016-05,42,2016,5
149,2016-06,31,2016,6
150,2016-07,27,2016,7
151,2016-08,38,2016,8
152,2016-09,50,2016,9
153,2016-10,46,2016,10
154,2016-11,43,2016,11
155,2016-12,39,2016,12
156,2017-01,49,2017,1
157,2017-02,49,2017,2
158,2017-03,48,2017,3
159,2017-04,52,2017,4
160,2017-05,42,2017,5
161,2017-06,32,2017,6
162,2017-07,29,2017,7
163,2017-08,42,2017,8
164,2017-09,47,2017,9
165,2017-10,46,2017,10
166,2017-11,44,2017,11
167,2017-12,38,2017,12
168,2018-01,47,2018,1
169,2018-02,44,2018,2
170,2018-03,42,2018,3
171,2018-04,42,2018,4
172,2018-05,41,2018,5
173,2018-06,30,2018,6
174,2018-07,28,2018,7
175,2018-08,39,2018,8
176,2018-09,47,2018,9
177,2018-10,44,2018,10
178,2018-11,41,2018,11
179,2018-12,36,2018,12
180,2019-01,44,2019,1
181,2019-02,44,2019,2
182,2019-03,42,2019,3
